# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.load.cache.metadata.from.file.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774054713965000000,1774054744404000000,0
workspaceModel.sync.entities.ms,1774054713965000000,1774054744404000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1774054713965000000,1774054744404000000,0
jps.load.initial.state.ms,1774054713965000000,1774054744404000000,11
jps.global.get.library.by.name.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1774054713965000000,1774054744404000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774054713965000000,1774054744404000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774054713965000000,1774054744404000000,0
jps.library.entities.serializer.load.entities.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1774054713965000000,1774054744404000000,0
workspaceModel.load.cache.from.file.ms,1774054713965000000,1774054744404000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774054713965000000,1774054744404000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774054713965000000,1774054744404000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1774054713965000000,1774054744404000000,0
jps.save.global.entities.ms,1774054713965000000,1774054744404000000,3
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774054713965000000,1774054744404000000,1
jps.library.entities.serializer.save.entities.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1774054713965000000,1774054744404000000,0
workspaceModel.save.cache.to.file.ms,1774054713965000000,1774054744404000000,0
workspaceModel.global.apply.state.to.project.ms,1774054713965000000,1774054744404000000,0
jps.global.handle.changed.events.ms,1774054713965000000,1774054744404000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774054713965000000,1774054744404000000,0
jps.app.storage.content.reader.load.component.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1774054713965000000,1774054744404000000,0
jps.app.storage.content.writer.save.component.ms,1774054713965000000,1774054744404000000,1
jps.global.initialize.library.bridges.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774054713965000000,1774054744404000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774054713965000000,1774054744404000000,0
workspaceModel.do.save.caches.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1774054713965000000,1774054744404000000,0
jps.global.get.library.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.instances.count,1774054713965000000,1774054744404000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774054713965000000,1774054744404000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1774054713965000000,1774054744404000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774054713965000000,1774054744404000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774054713965000000,1774054744404000000,0
workspaceModel.global.updates.count,1774054713965000000,1774054744404000000,0
workspaceModel.global.updates.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774054713965000000,1774054744404000000,0
jps.global.handle.before.change.events.ms,1774054713965000000,1774054744404000000,0
jps.global.get.libraries.ms,1774054713965000000,1774054744404000000,17
workspaceModel.moduleManagerBridge.load.module.ms,1774054713965000000,1774054744404000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774054713965000000,1774054744404000000,0
NonBlockingReadAction.failedExecutionTimeUs,1774054713965000000,1774054744404000000,0
NonBlockingReadAction.finalizedExecutionsCount,1774054713965000000,1774054744404000000,7
NonBlockingReadAction.failedExecutionsCount,1774054713965000000,1774054744404000000,0
AWTEventQueue.dispatchTimeTotalNS,1774054713965000000,1774054744404000000,3198733137
NonBlockingReadAction.finalizedExecutionTimeUs,1774054713965000000,1774054744404000000,40923
writeAction.median.wait.ms,1774054713965000000,1774054744404000000,0
DiskQueryRelay.tasksRequested,1774054713965000000,1774054744404000000,39
DiskQueryRelay.taskExecutionTotalTimeUs,1774054713965000000,1774054744404000000,7427
writeAction.count,1774054713965000000,1774054744404000000,8
writeAction.wait.ms,1774054713965000000,1774054744404000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1774054713965000000,1774054744404000000,18501
writeAction.max.wait.ms,1774054713965000000,1774054744404000000,1
DiskQueryRelay.tasksExecuted,1774054713965000000,1774054744404000000,39
workspaceModel.cachedValue.calculated.count,1774054713965000000,1774054744404000000,2
workspaceModel.cachedValueWithParameters.from.cache.count,1774054713965000000,1774054744404000000,0
workspaceModel.pre.handlers.ms,1774054713965000000,1774054744404000000,0
workspaceModel.loading.total.ms,1774054713965000000,1774054744404000000,37
workspaceModel.check.recursive.update.ms,1774054713965000000,1774054744404000000,0
workspaceModel.on.before.changed.ms,1774054713965000000,1774054744404000000,0
workspaceModel.on.changed.ms,1774054713965000000,1774054744404000000,0
workspaceModel.updates.ms,1774054713965000000,1774054744404000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1774054713965000000,1774054744404000000,0
workspaceModel.collect.changes.ms,1774054713965000000,1774054744404000000,0
workspaceModel.update.unloaded.entities.ms,1774054713965000000,1774054744404000000,0
workspaceModel.full.replace.project.model.ms,1774054713965000000,1774054744404000000,0
workspaceModel.cachedValue.clear.count,1774054713965000000,1774054744404000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1774054713965000000,1774054744404000000,0
workspaceModel.cachedValue.from.cache.count,1774054713965000000,1774054744404000000,1
workspaceModel.updates.precise.ms,1774054713965000000,1774054744404000000,0
workspaceModel.init.bridges.ms,1774054713965000000,1774054744404000000,0
workspaceModel.initializing.ms,1774054713965000000,1774054744404000000,0
workspaceModel.cachedValue.total.get.count,1774054713965000000,1774054744404000000,3
workspaceModel.updates.count,1774054713965000000,1774054744404000000,0
workspaceModel.loading.from.cache.ms,1774054713965000000,1774054744404000000,29
workspaceModel.cachedValueWithParameters.clear.count,1774054713965000000,1774054744404000000,0
workspaceModel.replace.project.model.ms,1774054713965000000,1774054744404000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774054713965000000,1774054744404000000,3
workspaceModel.to.snapshot.ms,1774054713965000000,1774054744404000000,0
cacheStateStorage.get.duration,1774054713965000000,1774054744404000000,0
cacheStateStorage.set.duration,1774054713965000000,1774054744404000000,12
cacheStateStorage.get.counter,1774054713965000000,1774054744404000000,4
cacheStateStorage.set.counter,1774054713965000000,1774054744404000000,2
Indexing.cache.totalCacheAccesses,1774054713965000000,1774054744404000000,0
Indexing.cache.totalCacheMisses,1774054713965000000,1774054744404000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1774054713965000000,1774054744404000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774054713965000000,1774054744404000000,0
Indexing.writesQueuedMax,1774054713965000000,1774054744404000000,0
Indexing.cache.totalCacheEvicted,1774054713965000000,1774054744404000000,0
Indexing.writesQueuedMin,1774054713965000000,1774054744404000000,9223372036854775807
Indexing.totalTimeIndexersSleptMs,1774054713965000000,1774054744404000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774054713965000000,1774054744404000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774054713965000000,1774054744404000000,0
DirectByteBufferAllocator.hits,1774054713965000000,1774054744404000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1774054713965000000,1774054744404000000,0
FilePageCache.pageFastCacheHits,1774054713965000000,1774054744404000000,4096
StorageLockContext.competingThreads.max,1774054713965000000,1774054744404000000,0
FilePageCache.maxCacheSizeInBytes,1774054713965000000,1774054744404000000,213909504
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774054713965000000,1774054744404000000,41943040
DirectByteBufferAllocator.reclaimed,1774054713965000000,1774054744404000000,43
FilePageCache.disposedBuffers,1774054713965000000,1774054744404000000,207
DirectByteBufferAllocator.disposed,1774054713965000000,1774054744404000000,164
FilePageCache.totalPageDisposalsUs,1774054713965000000,1774054744404000000,569
FilePageCache.pageLoadsAboveSizeThreshold,1774054713965000000,1774054744404000000,0
StorageLockContext.competingThreads.avg,1774054713965000000,1774054744404000000,0.0
DirectByteBufferAllocator.misses,1774054713965000000,1774054744404000000,204
FilePageCache.capacityInBytes,1774054713965000000,1774054744404000000,629145600
FilePageCache.uncachedFileAccess,1774054713965000000,1774054744404000000,133
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774054713965000000,1774054744404000000,41943040
FilePageCache.totalPageLoadsUs,1774054713965000000,1774054744404000000,213627
FilePageCache.pageHits,1774054713965000000,1774054744404000000,0
StorageLockContext.competingThreads.90P,1774054713965000000,1774054744404000000,0
FilePageCache.pageLoads,1774054713965000000,1774054744404000000,207
FilePageCache.maxRegisteredFiles,1774054713965000000,1774054744404000000,567
