# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.save.global.entities.ms,1774058676562000000,1774058713283000000,7
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1774058676562000000,1774058713283000000,0
jps.app.storage.content.reader.load.component.ms,1774058676562000000,1774058713283000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1774058676562000000,1774058713283000000,0
jps.app.storage.content.writer.save.component.ms,1774058676562000000,1774058713283000000,2
jps.global.handle.before.change.events.ms,1774058676562000000,1774058713283000000,0
workspaceModel.sync.entities.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774058676562000000,1774058713283000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1774058676562000000,1774058713283000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774058676562000000,1774058713283000000,0
jps.global.get.libraries.ms,1774058676562000000,1774058713283000000,22
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774058676562000000,1774058713283000000,0
workspaceModel.global.updates.count,1774058676562000000,1774058713283000000,0
jps.library.entities.serializer.load.entities.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774058676562000000,1774058713283000000,0
jps.global.initialize.library.bridges.ms,1774058676562000000,1774058713283000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774058676562000000,1774058713283000000,0
workspaceModel.do.save.caches.ms,1774058676562000000,1774058713283000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1774058676562000000,1774058713283000000,0
workspaceModel.load.cache.metadata.from.file.ms,1774058676562000000,1774058713283000000,0
