# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.totalTimeIndexersSleptMs,1774058480718000000,1774058540747000000,0
Indexing.writesQueuedAvg,1774058480718000000,1774058540747000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1774058480718000000,1774058540747000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1774058480718000000,1774058540747000000,0
Indexing.writesQueuedMax,1774058480718000000,1774058540747000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774058480718000000,1774058540747000000,0
Indexing.cache.totalCacheAccesses,1774058480718000000,1774058540747000000,0
VFS.fileByIdCache.hits,1774058540747000000,1774058560813000000,0
VFS.rootsCount,1774058540747000000,1774058560813000000,0.0
VFS.fileChildByName,1774058540747000000,1774058560813000000,0
VFS.invertedFileNameIndex.requests,1774058540747000000,1774058560813000000,0
VFS.fileByIdCache.misses,1774058540747000000,1774058560813000000,0
VFS.folderCaseSensitivityReads,1774058540747000000,1774058560813000000,0
writeAction.wait.ms,1774058540747000000,1774058560813000000,0
writeAction.count,1774058540747000000,1774058560813000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1774058540747000000,1774058560813000000,0
writeAction.median.wait.ms,1774058540747000000,1774058560813000000,0
writeAction.max.wait.ms,1774058540747000000,1774058560813000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1774058540747000000,1774058560813000000,0
DiskQueryRelay.tasksExecuted,1774058540747000000,1774058560813000000,0
DiskQueryRelay.tasksRequested,1774058540747000000,1774058560813000000,0
cacheStateStorage.get.counter,1774058540747000000,1774058560813000000,1
cacheStateStorage.get.duration,1774058540747000000,1774058560813000000,0
cacheStateStorage.set.counter,1774058540747000000,1774058560813000000,1
cacheStateStorage.set.duration,1774058540747000000,1774058560813000000,4
FlushQueue.executionTime90PNs,1774058540747000000,1774058560813000000,180223
AWTEventQueue.dispatchTimeAvgNs,1774058540747000000,1774058560813000000,230727.2
FlushQueue.queueSize90P,1774058540747000000,1774058560813000000,0
FlushQueue.waitingTime90PNs,1774058540747000000,1774058560813000000,356351
FlushQueue.tasksExecuted,1774058540747000000,1774058560813000000,20
FlushQueue.queueSizeAvg,1774058540747000000,1774058560813000000,0.0
FlushQueue.waitingTimeAvgNs,1774058540747000000,1774058560813000000,255846.4
AWTEventQueue.eventsDispatched,1774058540747000000,1774058560813000000,80
AWTEventQueue.dispatchTimeTotalNS,1774058540747000000,1774058560813000000,18453728
AWTEventQueue.dispatchTime90PNs,1774058540747000000,1774058560813000000,393215
AWTEventQueue.dispatchTimeMaxNs,1774058540747000000,1774058560813000000,1019903
FlushQueue.waitingTimeMaxNs,1774058540747000000,1774058560813000000,489471
WriteAction.executionsCount,1774058540747000000,1774058560813000000,0
FlushQueue.executionTimeMaxNs,1774058540747000000,1774058560813000000,471039
ReadAction.executionsCount,1774058540747000000,1774058560813000000,1
FlushQueue.queueSizeMax,1774058540747000000,1774058560813000000,0
FlushQueue.executionTimeAvgNs,1774058540747000000,1774058560813000000,128537.6
StorageLockContext.competingThreads.90P,1774058540747000000,1774058560813000000,0
FilePageCache.pageFastCacheHits,1774058540747000000,1774058560813000000,0
StorageLockContext.competingThreads.avg,1774058540747000000,1774058560813000000,0.0
MappedFileStorage.storages,1774058540747000000,1774058560813000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1774058540747000000,1774058560813000000,24619
FilePageCache.maxRegisteredFiles,1774058540747000000,1774058560813000000,569
FileChannelInterruptsRetryer.totalRetriedAttempts,1774058540747000000,1774058560813000000,0
DirectByteBufferAllocator.misses,1774058540747000000,1774058560813000000,0
FilePageCache.pageHits,1774058540747000000,1774058560813000000,0
FilePageCache.uncachedFileAccess,1774058540747000000,1774058560813000000,0
FilePageCache.totalPageLoadsUs,1774058540747000000,1774058560813000000,0
FilePageCache.maxCacheSizeInBytes,1774058540747000000,1774058560813000000,213925888
FilePageCache.capacityInBytes,1774058540747000000,1774058560813000000,629145600
MappedFileStorage.totalBytesMapped,1774058540747000000,1774058560813000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774058540747000000,1774058560813000000,41959424
FilePageCache.disposedBuffers,1774058540747000000,1774058560813000000,206
FilePageCache.totalPageDisposalsUs,1774058540747000000,1774058560813000000,0
FilePageCache.pageLoads,1774058540747000000,1774058560813000000,0
DirectByteBufferAllocator.hits,1774058540747000000,1774058560813000000,0
MappedFileStorage.totalPagesMapped,1774058540747000000,1774058560813000000,0
StorageLockContext.competingThreads.max,1774058540747000000,1774058560813000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1774058540747000000,1774058560813000000,0
DirectByteBufferAllocator.disposed,1774058540747000000,1774058560813000000,164
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774058540747000000,1774058560813000000,41959424
DirectByteBufferAllocator.reclaimed,1774058540747000000,1774058560813000000,42
Indexing.cache.totalCacheMisses,1774058540747000000,1774058560813000000,0
Indexing.writesQueuedMin,1774058540747000000,1774058560813000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774058540747000000,1774058560813000000,0
Indexing.cache.totalCacheEvicted,1774058540747000000,1774058560813000000,0
Indexing.totalTimeIndexersSleptMs,1774058540747000000,1774058560813000000,0
Indexing.writesQueuedAvg,1774058540747000000,1774058560813000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1774058540747000000,1774058560813000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1774058540747000000,1774058560813000000,0
Indexing.writesQueuedMax,1774058540747000000,1774058560813000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774058540747000000,1774058560813000000,0
Indexing.cache.totalCacheAccesses,1774058540747000000,1774058560813000000,0
