# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsReadDecompressed,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsStoredSize,1774053896658000000,1774053956796000000,0
VFS.rootsCount,1774053896658000000,1774053956796000000,1.0
VFS.cache.filesCreated,1774053896658000000,1774053956796000000,30
VFS.fileChildByName,1774053896658000000,1774053956796000000,20
FileNameCache.totalMisses,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsRead,1774053896658000000,1774053956796000000,0
VFS.cache.directoriesCreated,1774053896658000000,1774053956796000000,13
VFS.contentStorage.recordsDeduplicated,1774053896658000000,1774053956796000000,0
VFS.invertedFileNameIndex.requests,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsUncompressedSize,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsStored,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsStoredCompressed,1774053896658000000,1774053956796000000,0
VFS.cache.segmentsCreated,1774053896658000000,1774053956796000000,1
VFS.folderCaseSensitivityReads,1774053896658000000,1774053956796000000,8
VFS.fileByIdCache.misses,1774053896658000000,1774053956796000000,0
VFS.fileByIdCache.hits,1774053896658000000,1774053956796000000,0
VFS.contentStorage.recordsReadSize,1774053896658000000,1774053956796000000,0
VFS.cache.segments,1774053896658000000,1774053956796000000,1.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774053896658000000,1774053956796000000,0
StorageLockContext.competingThreads.max,1774053896658000000,1774053956796000000,0
DirectByteBufferAllocator.reclaimed,1774053896658000000,1774053956796000000,5
FilePageCache.pageLoads,1774053896658000000,1774053956796000000,244
FilePageCache.totalPageLoadsUs,1774053896658000000,1774053956796000000,672151
FilePageCache.pageFastCacheHits,1774053896658000000,1774053956796000000,4797
FilePageCache.maxCacheSizeInBytes,1774053896658000000,1774053956796000000,248528896
DirectByteBufferAllocator.disposed,1774053896658000000,1774053956796000000,0
FilePageCache.maxRegisteredFiles,1774053896658000000,1774053956796000000,666
StreamlinedBlobStorage.recordsAllocated,1774053896658000000,1774053956796000000,53
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774053896658000000,1774053956796000000,248528896
StorageLockContext.competingThreads.90P,1774053896658000000,1774053956796000000,0
FilePageCache.pageHits,1774053896658000000,1774053956796000000,0
StorageLockContext.competingThreads.avg,1774053896658000000,1774053956796000000,0.0
FilePageCache.capacityInBytes,1774053896658000000,1774053956796000000,629145600
MappedFileStorage.totalTimeSpentOnMappingUs,1774053896658000000,1774053956796000000,12873
FilePageCache.uncachedFileAccess,1774053896658000000,1774053956796000000,143
StreamlinedBlobStorage.recordsDeleted,1774053896658000000,1774053956796000000,0
MappedFileStorage.totalBytesMapped,1774053896658000000,1774053956796000000,164626432
FilePageCache.pageLoadsAboveSizeThreshold,1774053896658000000,1774053956796000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1774053896658000000,1774053956796000000,664
FileChannelInterruptsRetryer.totalRetriedAttempts,1774053896658000000,1774053956796000000,0
FilePageCache.totalPageDisposalsUs,1774053896658000000,1774053956796000000,1038
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1774053896658000000,1774053956796000000,3838
StreamlinedBlobStorage.recordsRelocated,1774053896658000000,1774053956796000000,0
FilePageCache.disposedBuffers,1774053896658000000,1774053956796000000,5
DirectByteBufferAllocator.hits,1774053896658000000,1774053956796000000,5
MappedFileStorage.storages,1774053896658000000,1774053956796000000,6
DirectByteBufferAllocator.misses,1774053896658000000,1774053956796000000,239
MappedFileStorage.totalPagesMapped,1774053896658000000,1774053956796000000,6
AWTEventQueue.dispatchTimeAvgNs,1774053896658000000,1774053956796000000,0.0
FlushQueue.executionTime90PNs,1774053896658000000,1774053956796000000,0
AWTEventQueue.eventsDispatched,1774053896658000000,1774053956796000000,0
FlushQueue.queueSizeAvg,1774053896658000000,1774053956796000000,0.0
FlushQueue.executionTimeMaxNs,1774053896658000000,1774053956796000000,0
AWTEventQueue.dispatchTimeTotalNS,1774053896658000000,1774053956796000000,2392917120
FlushQueue.waitingTime90PNs,1774053896658000000,1774053956796000000,0
AWTEventQueue.dispatchTimeMaxNs,1774053896658000000,1774053956796000000,0
AWTEventQueue.dispatchTime90PNs,1774053896658000000,1774053956796000000,0
ReadAction.executionsCount,1774053896658000000,1774053956796000000,53
FlushQueue.queueSizeMax,1774053896658000000,1774053956796000000,0
FlushQueue.executionTimeAvgNs,1774053896658000000,1774053956796000000,0.0
FlushQueue.waitingTimeMaxNs,1774053896658000000,1774053956796000000,0
FlushQueue.queueSize90P,1774053896658000000,1774053956796000000,0
WriteAction.executionsCount,1774053896658000000,1774053956796000000,1
FlushQueue.tasksExecuted,1774053896658000000,1774053956796000000,0
FlushQueue.waitingTimeAvgNs,1774053896658000000,1774053956796000000,0.0
Indexing.cache.totalCacheAccesses,1774053896658000000,1774053956796000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774053896658000000,1774053956796000000,0
Indexing.cache.totalCacheEvicted,1774053896658000000,1774053956796000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774053896658000000,1774053956796000000,0
Indexing.cache.totalCacheMisses,1774053896658000000,1774053956796000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774053896658000000,1774053956796000000,0
Indexing.writesQueuedMax,1774053896658000000,1774053956796000000,0
Indexing.totalTimeIndexersSleptMs,1774053896658000000,1774053956796000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1774053896658000000,1774053956796000000,0
Indexing.writesQueuedMin,1774053896658000000,1774053956796000000,9223372036854775807
DiskQueryRelay.tasksExecuted,1774053896658000000,1774053956796000000,34
DiskQueryRelay.taskExecutionTotalTimeUs,1774053896658000000,1774053956796000000,171122
writeAction.median.wait.ms,1774053896658000000,1774053956796000000,0
writeAction.max.wait.ms,1774053896658000000,1774053956796000000,1
writeAction.wait.ms,1774053896658000000,1774053956796000000,1
writeAction.count,1774053896658000000,1774053956796000000,1
DiskQueryRelay.tasksRequested,1774053896658000000,1774053956796000000,34
DiskQueryRelay.taskWaitingTotalTimeUs,1774053896658000000,1774053956796000000,241362
cacheStateStorage.set.counter,1774053896658000000,1774053956796000000,1
cacheStateStorage.get.duration,1774053896658000000,1774053956796000000,0
cacheStateStorage.get.counter,1774053896658000000,1774053956796000000,5
cacheStateStorage.set.duration,1774053896658000000,1774053956796000000,3
VFS.rootsCount,1774053956796000000,1774053983865000000,0.0
VFS.fileChildByName,1774053956796000000,1774053983865000000,0
VFS.invertedFileNameIndex.requests,1774053956796000000,1774053983865000000,0
VFS.folderCaseSensitivityReads,1774053956796000000,1774053983865000000,0
VFS.fileByIdCache.misses,1774053956796000000,1774053983865000000,0
VFS.fileByIdCache.hits,1774053956796000000,1774053983865000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774053956796000000,1774053983865000000,41959424
StorageLockContext.competingThreads.max,1774053956796000000,1774053983865000000,0
DirectByteBufferAllocator.reclaimed,1774053956796000000,1774053983865000000,42
FilePageCache.pageLoads,1774053956796000000,1774053983865000000,0
FilePageCache.totalPageLoadsUs,1774053956796000000,1774053983865000000,0
FilePageCache.pageFastCacheHits,1774053956796000000,1774053983865000000,0
FilePageCache.maxCacheSizeInBytes,1774053956796000000,1774053983865000000,248528896
DirectByteBufferAllocator.disposed,1774053956796000000,1774053983865000000,197
FilePageCache.maxRegisteredFiles,1774053956796000000,1774053983865000000,666
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774053956796000000,1774053983865000000,41959424
StorageLockContext.competingThreads.90P,1774053956796000000,1774053983865000000,0
FilePageCache.pageHits,1774053956796000000,1774053983865000000,0
StorageLockContext.competingThreads.avg,1774053956796000000,1774053983865000000,0.0
FilePageCache.capacityInBytes,1774053956796000000,1774053983865000000,629145600
MappedFileStorage.totalTimeSpentOnMappingUs,1774053956796000000,1774053983865000000,12873
FilePageCache.uncachedFileAccess,1774053956796000000,1774053983865000000,0
MappedFileStorage.totalBytesMapped,1774053956796000000,1774053983865000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1774053956796000000,1774053983865000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1774053956796000000,1774053983865000000,0
FilePageCache.totalPageDisposalsUs,1774053956796000000,1774053983865000000,0
FilePageCache.disposedBuffers,1774053956796000000,1774053983865000000,239
DirectByteBufferAllocator.hits,1774053956796000000,1774053983865000000,0
MappedFileStorage.storages,1774053956796000000,1774053983865000000,0
DirectByteBufferAllocator.misses,1774053956796000000,1774053983865000000,0
MappedFileStorage.totalPagesMapped,1774053956796000000,1774053983865000000,0
AWTEventQueue.dispatchTimeAvgNs,1774053956796000000,1774053983865000000,0.0
FlushQueue.executionTime90PNs,1774053956796000000,1774053983865000000,0
AWTEventQueue.eventsDispatched,1774053956796000000,1774053983865000000,0
FlushQueue.queueSizeAvg,1774053956796000000,1774053983865000000,0.0
FlushQueue.executionTimeMaxNs,1774053956796000000,1774053983865000000,0
AWTEventQueue.dispatchTimeTotalNS,1774053956796000000,1774053983865000000,20816081
FlushQueue.waitingTime90PNs,1774053956796000000,1774053983865000000,0
AWTEventQueue.dispatchTimeMaxNs,1774053956796000000,1774053983865000000,0
AWTEventQueue.dispatchTime90PNs,1774053956796000000,1774053983865000000,0
ReadAction.executionsCount,1774053956796000000,1774053983865000000,1
FlushQueue.queueSizeMax,1774053956796000000,1774053983865000000,0
FlushQueue.executionTimeAvgNs,1774053956796000000,1774053983865000000,0.0
FlushQueue.waitingTimeMaxNs,1774053956796000000,1774053983865000000,0
FlushQueue.queueSize90P,1774053956796000000,1774053983865000000,0
WriteAction.executionsCount,1774053956796000000,1774053983865000000,0
FlushQueue.tasksExecuted,1774053956796000000,1774053983865000000,0
FlushQueue.waitingTimeAvgNs,1774053956796000000,1774053983865000000,0.0
Indexing.cache.totalCacheAccesses,1774053956796000000,1774053983865000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774053956796000000,1774053983865000000,0
Indexing.cache.totalCacheEvicted,1774053956796000000,1774053983865000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774053956796000000,1774053983865000000,0
Indexing.cache.totalCacheMisses,1774053956796000000,1774053983865000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774053956796000000,1774053983865000000,0
Indexing.writesQueuedMax,1774053956796000000,1774053983865000000,0
Indexing.totalTimeIndexersSleptMs,1774053956796000000,1774053983865000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1774053956796000000,1774053983865000000,0
Indexing.writesQueuedMin,1774053956796000000,1774053983865000000,9223372036854775807
DiskQueryRelay.tasksExecuted,1774053956796000000,1774053983865000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1774053956796000000,1774053983865000000,0
writeAction.median.wait.ms,1774053956796000000,1774053983865000000,0
writeAction.max.wait.ms,1774053956796000000,1774053983865000000,1
writeAction.wait.ms,1774053956796000000,1774053983865000000,0
writeAction.count,1774053956796000000,1774053983865000000,0
DiskQueryRelay.tasksRequested,1774053956796000000,1774053983865000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1774053956796000000,1774053983865000000,0
cacheStateStorage.set.counter,1774053956796000000,1774053983865000000,0
cacheStateStorage.get.duration,1774053956796000000,1774053983865000000,0
cacheStateStorage.get.counter,1774053956796000000,1774053983865000000,0
cacheStateStorage.set.duration,1774053956796000000,1774053983865000000,0
