# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookups,1774053842945000000,1774053884655000000,0
Indexing.cache.totalCacheAccesses,1774053842945000000,1774053884655000000,0
Indexes.allKeys.lookupDurationMaxMs,1774053842945000000,1774053884655000000,0.0
Indexing.writesQueuedMax,1774053842945000000,1774053884655000000,0
Indexes.entries.lookupDuration90PMs,1774053842945000000,1774053884655000000,4.0
Indexing.writer_2.totalTimeSpentWritingMs,1774053842945000000,1774053884655000000,0
Indexes.entries.lookupDurationMaxMs,1774053842945000000,1774053884655000000,4.0
Indexing.writer_0.totalTimeSpentWritingMs,1774053842945000000,1774053884655000000,0
Indexes.allKeys.lookups,1774053842945000000,1774053884655000000,0
Indexing.cache.totalCacheMisses,1774053842945000000,1774053884655000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774053842945000000,1774053884655000000,0
Indexing.writesQueuedMin,1774053842945000000,1774053884655000000,0
FilePageCache.maxRegisteredFiles,1774053842945000000,1774053884655000000,1078
StorageLockContext.competingThreads.90P,1774053842945000000,1774053884655000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1774053842945000000,1774053884655000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774053842945000000,1774053884655000000,41943040
DirectByteBufferAllocator.disposed,1774053842945000000,1774053884655000000,345
FilePageCache.maxCacheSizeInBytes,1774053842945000000,1774053884655000000,403701760
StorageLockContext.competingThreads.avg,1774053842945000000,1774053884655000000,0.1
StorageLockContext.competingThreads.max,1774053842945000000,1774053884655000000,6
FilePageCache.uncachedFileAccess,1774053842945000000,1774053884655000000,697
FilePageCache.pageHits,1774053842945000000,1774053884655000000,0
FilePageCache.capacityInBytes,1774053842945000000,1774053884655000000,629145600
DirectByteBufferAllocator.reclaimed,1774053842945000000,1774053884655000000,43
DirectByteBufferAllocator.hits,1774053842945000000,1774053884655000000,3
DirectByteBufferAllocator.misses,1774053842945000000,1774053884655000000,385
FileChannelInterruptsRetryer.totalRetriedAttempts,1774053842945000000,1774053884655000000,0
FilePageCache.pageFastCacheHits,1774053842945000000,1774053884655000000,27044
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774053842945000000,1774053884655000000,41943040
FilePageCache.totalPageDisposalsUs,1774053842945000000,1774053884655000000,25638
FilePageCache.pageLoads,1774053842945000000,1774053884655000000,388
FilePageCache.disposedBuffers,1774053842945000000,1774053884655000000,388
FilePageCache.totalPageLoadsUs,1774053842945000000,1774053884655000000,303096
NonBlockingReadAction.finalizedExecutionsCount,1774053842945000000,1774053884655000000,17
NonBlockingReadAction.failedExecutionsCount,1774053842945000000,1774053884655000000,0
NonBlockingReadAction.failedExecutionTimeUs,1774053842945000000,1774053884655000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1774053842945000000,1774053884655000000,249775
AWTEventQueue.dispatchTimeTotalNS,1774053842945000000,1774053884655000000,3772916516
cacheStateStorage.set.counter,1774053842945000000,1774053884655000000,8
cacheStateStorage.get.counter,1774053842945000000,1774053884655000000,10
cacheStateStorage.set.duration,1774053842945000000,1774053884655000000,17
cacheStateStorage.get.duration,1774053842945000000,1774053884655000000,0
workspaceModel.full.replace.project.model.ms,1774053842945000000,1774053884655000000,0
workspaceModel.updates.precise.ms,1774053842945000000,1774053884655000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1774053842945000000,1774053884655000000,0
workspaceModel.updates.ms,1774053842945000000,1774053884655000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1774053842945000000,1774053884655000000,0
workspaceModel.update.unloaded.entities.ms,1774053842945000000,1774053884655000000,0
workspaceModel.collect.changes.ms,1774053842945000000,1774053884655000000,0
workspaceModel.loading.from.cache.ms,1774053842945000000,1774053884655000000,91
workspaceModel.initializing.ms,1774053842945000000,1774053884655000000,0
